DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"BAL Class Ciudad Bolivar","Ciudad Bolivar","T-81","1901.7262","2999.9973"
"Blue Ridge AGFH","USS Blue Ridge","LCC-19","1967.87","2999.99"
"Blue Ridge AGFH","USS Mount Whitney","LCC-20","1971.01","2999.99"
"Boat","NEU Boat","","2010.165","2999.9973"
"BVL Class Guaicamacuto","Guaicamacuto","GC-21","2010.25","2999.9973"
"Canberra LHD","HMAS Adelaide","LHD 02","2015.45","2999.99"
"Canberra LHD","HMAS Canberra","LHD 01","2014.04","2999.99"
"Cheng Kung FFG","ROCS Chang Chien","PFG-1109","1998.92","2999.99"
"Cheng Kung FFG","ROCS Cheng ho","PFG-1103","1994.24","2999.99"
"Cheng Kung FFG","ROCS Cheng kung","PFG-1101","1993.35","2999.99"
"Cheng Kung FFG","ROCS Chi Kuang","PFG-1105","1995.17","2999.99"
"Cheng Kung FFG","ROCS Pan Chao","PFG-1108","1997.96","2999.99"
"Cheng Kung FFG","ROCS Tian Dan","PFG-1110","2004.19","2999.99"
"Cheng Kung FFG","ROCS Tzu I","PFG-1107","1997.02","2999.99"
"Cheng Kung FFG","ROCS Yeuh Fei","PFG-1106","1996.15","2999.99"
"Collins SSK","HMAS Collins","SSG-73","1996.5674","2999.9973"
"Collins SSK","HMAS Dechaineux","SSG-76","2001.1458","2999.9973"
"Collins SSK","HMAS Farncomb","SSG-74","1998.0828","2999.9973"
"Collins SSK","HMAS Rankin","SSG-78","2003.2389","2999.9973"
"Collins SSK","HMAS Sheean","SSG-77","2001.1458","2999.9973"
"Collins SSK","HMAS Waller","SSG-75","1999.5209","2999.9973"
"Converted Austin AGFH","Coronado","AGF-11","1980.75","2006.75"
"Converted Raleigh AGFH","La Salle","AGF-3","1972.5","2005.4"
"Cruiser","NEU Cruiser","","1900.1","2999.9973"
"Cyclone PBFM","USS Chinook","PC-9","1995.07","2999.99"
"Cyclone PBFM","USS Cyclone","PC-1","1993.52","2000.25"
"Cyclone PBFM","USS Firebolt","PC-10","1995.44","2999.99"
"Cyclone PBFM","USS Hurricane","PC-3","1993.79","2999.99"
"Cyclone PBFM","USS Monsoon","PC-4","1993.72","2999.99"
"Cyclone PBFM","USS Shamal","PC-13","1996.07","2999.99"
"Cyclone PBFM","USS Sirocco","PC-6","1994.44","2999.99"
"Cyclone PBFM","USS Squall","PC-7","1994.5","2999.99"
"Cyclone PBFM","USS Tempest","PC-2","1993.38","2999.99"
"Cyclone PBFM","USS Thunderbolt","PC-12","1995.76","2999.99"
"Cyclone PBFM","USS Tornado","PC-14","2000.48","2999.99"
"Cyclone PBFM","USS Typhoon","PC-5","1994.12","2999.99"
"Cyclone PBFM","USS Whirlwind","PC-11","1995.5","2999.99"
"Cyclone PBFM","USS Zephyr","PC-8","1994.79","2999.99"
"Defenseless destroyer","ZZT TEST Defenseless Destroyer","","1900.1","2999.9973"
"Destroyer","NEU Destroyer","","1900.1","2999.9973"
"ECM Test Boat","ZZT TEST ECM Boat","","1900.1","2999.9973"
"Edenton WMEC","USCGC Alex Haley","WMEC-39","1999.5209","2999.99"
"Pr 537 Osminol","Alagez","","1989.0719","2999.9973"
"Pr 537 Osminol","Elbrus","","1980.9671","1997.4387"
"Emery S Land ASH","USS Emory S. Land","AS-39","1979.51","2999.99"
"Emery S Land ASH","USS Frank Cable","AS-40","1979.82","2999.99"
"Emery S Land ASH","USS McKee","AS-41","1981.62","1999.53"
"CVN-65 (Enterprise) USS Enterprise","USS Enterprise","CVN-65","1961.9","2013.5"
"Famous Cutter WMEC","USCGC Bear","WMEC-901","1983.09","2999.99"
"Famous Cutter WMEC","USCGC Campbell","WMEC-909","1989.63","2999.99"
"Famous Cutter WMEC","USCGC Escanaba","WMEC-907","1987.66","2999.99"
"Famous Cutter WMEC","USCGC Forward","WMEC-911","1990.59","2999.99"
"Famous Cutter WMEC","USCGC Harriet Lane","WMEC-903","1984.33","2999.99"
"Famous Cutter WMEC","USCGC Legare","WMEC-912","1990.59","2999.99"
