DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Pr 205P Tarantul","PSKR-674","","1968.4196","2005.6906"
"Pr 205P Tarantul","PSKR-675","","1968.7755","2005.8631"
"Pr 205P Tarantul","PSKR-676","","1969.1321","2006.0363"
"Pr 205P Tarantul","PSKR-677","","1969.488","2006.2088"
"Pr 205P Tarantul","PSKR-678","","1969.8439","2006.3812"
"Pr 205P Tarantul","PSKR-679","","1970.2005","2006.5537"
"Pr 205P Tarantul","PSKR-680","","1970.5565","2006.7262"
"Pr 205P Tarantul","PSKR-681","","1970.9124","2006.8987"
"Pr 205P Tarantul","PSKR-682","","1971.269","2007.0719"
"Pr 205P Tarantul","PSKR-683","","1971.6249","2007.2444"
"Pr 205P Tarantul","PSKR-684","","1971.9808","2007.4168"
"Pr 205P Tarantul","PSKR-685","","1972.3347","2007.5893"
"Pr 205P Tarantul","PSKR-686","","1972.6906","2007.7618"
"Pr 205P Tarantul","PSKR-687","","1973.0472","2007.9343"
"Pr 205P Tarantul","PSKR-688","","1973.4031","2008.1047"
"Pr 205P Tarantul","PSKR-689","","1973.7591","2008.2772"
"Pr 205P Tarantul","PSKR-690","","1974.1157","2008.4497"
"Pr 205P Tarantul","PSKR-691","","1974.4716","2008.6222"
"Pr 205P Tarantul","PSKR-692","","1974.8275","2008.7947"
"Pr 205P Tarantul","PSKR-693","","1975.1841","2008.9671"
"Pr 205P Tarantul","PSKR-694","","1975.54","2009.1403"
"Pr 205P Tarantul","PSKR-695","","1982.5209","2010.8658"
"Pr 205P Tarantul","PSKR-696","","1982.7673","2010.9589"
"Pr 205P Tarantul","PSKR-697","","1983.0144","2011.0527"
"Pr 205P Tarantul","PSKR-698","","1983.2608","2011.1458"
"Pr 205P Tarantul","PSKR-699","","1983.5072","2011.2389"
"Pr 205P Tarantul","PSKR-700","","1983.7536","2011.332"
"Pr 205P Tarantul","PSKR-701","","1983.9979","2011.4251"
"Pr 205P Tarantul","PSKR-702","","1984.2444","2011.5181"
"Pr 205P Tarantul","PSKR-703","","1984.4908","2011.6112"
"Pr 205P Tarantul","PSKR-704","","1984.7372","2011.7043"
"Pr 205P Tarantul","PSKR-705","","1984.9836","2011.7974"
"Pr 205P Tarantul","PSKR-706","","1985.2307","2011.8905"
"Pr 205P Tarantul","PSKR-707","","1985.4771","2011.9836"
"Pr 205P Tarantul","PSKR-708","","1985.7235","2012.0746"
"Pr 205P Tarantul","PSKR-709","","1985.9699","2012.1677"
"Pr 205P Tarantul","PSKR-710","","1986.217","2012.2608"
"Pr 205P Tarantul","PSKR-711","","1986.4634","2012.3539"
"Pr 205P Tarantul","PSKR-712","","1986.7098","2012.447"
"Pr 205P Tarantul","PSKR-713","","1986.9562","2012.54"
"Pr 205P Tarantul","PSKR-714","","1987.2033","2012.6331"
"Pr 205P Tarantul","PSKR-715","","1987.4497","2012.7262"
"Pr 205P Tarantul","PSKR-716","","1987.6961","2012.8193"
"Pr 205P Tarantul","PSKR-717","","1987.9425","2012.9124"
"Pr 205P Tarantul","PSKR-718","","1988.1869","2013.0062"
"Pr 205P Tarantul","PSKR-719","","1988.4333","2013.0992"
"Pr 205P Tarantul","PSKR-720","","1988.6797","2013.1923"
"Pr 205P Tarantul","PSKR-721","","1988.9261","2013.2854"
"Pr 205P Tarantul","PSKR-722","","1989.1732","2013.3785"
"Pr 205P Tarantul","PSKR-723","","1989.4196","2013.4716"
"Pr 205P Tarantul","PSKR-724","","1989.666","2013.5647"
"Pr 205P Tarantul","PSKR-725","","1989.9124","2013.6578"
"Pr 206MR Vikhr","R-15","","1981.8248","2999.9973"
"Pr 206MR Vikhr","R-221","","1978.9945","1998.2033"
"Pr 206MR Vikhr","R-25 Borovsk","","1983.0007","2999.9973"
"Pr 206MR Vikhr","R-251","","1981.4524","2999.9973"
"Pr 206MR Vikhr","R-254","","1979.0253","1994.5072"
"Pr 206MR Vikhr","R-260","","1979.0007","2999.9973"
"Pr 206MR Vikhr","R-262","","1980.9452","2999.9973"
"Pr 206MR Vikhr","R-265 komsomolets Tatarii","","1980.8713","2999.9973"
"Pr 206MR Vikhr","R-27","","1977.9973","2002.2717"
"Pr 206MR Vikhr","R-30 Bludenovsk","","1983.0007","2999.9973"
"Pr 206MR Vikhr","R-44","","1978.7454","2008.7563"
"Pr 206MR Vikhr","R-50 Karachaevo-Cherkesiya","","1978.0007","2999.9973"
"Pr 266M Akvamarin-M","Artillerist","","1971.6057","1992.2115"
"Pr 266M Akvamarin-M","Desantnik","","1974.4387","1995.5893"
"Pr 266M Akvamarin-M","Dizelist","","1975.7864","1994.9589"
"Pr 266M Akvamarin-M","Dmitriy Lysov","","1973.6277","1998.2033"
"Pr 266M Akvamarin-M","Electric","","1978.0801","2999.9973"
"Pr 266M Akvamarin-M","Komendor","","1974.4935","2999.9973"
"Pr 266M Akvamarin-M","Kontr Admiral Pershin","","1970.9945","1993.4935"
"Pr 266M Akvamarin-M","Kontr-Admiral Khoroshin","","1972.8001","1994.5072"
"Pr 266M Akvamarin-M","Kontr-Admiral Vlasov","","1972.7454","2004.9918"
"Pr 266M Akvamarin-M","Mashinist","","1975.9945","2999.9973"
"Pr 266M Akvamarin-M","Miner","","1971.7454","1991.4771"
"Pr 266M Akvamarin-M","Motorist","","1976.4935","2005.4716"
"Pr 266M Akvamarin-M","Navodchik","","1974.8522","2999.9973"
"Pr 266M Akvamarin-M","Paravan","","1973.8303","1993.4935"
"Pr 266M Akvamarin-M","Pulemetchik","","1975.4634","2001.3347"
"Pr 266M Akvamarin-M","Radist","","1973.9124","2999.9973"
"Pr 266M Akvamarin-M","Raketchik","","1972.9151","1996.5756"
"Pr 266M Akvamarin-M","Razvedchik","","1977.4387","1997.5921"
"Pr 266M Akvamarin-M","Rulevoy","","1971.8001","1994.5072"
"Pr 266M Akvamarin-M","Semen Roshal ","","1970.8275","1994.9589"
"Pr 266M Akvamarin-M","Signalschik","","1973.3539","1994.5072"
"Pr 266M Akvamarin-M","Snayper","","1976.4086","1994.9918"
"Pr 266M Akvamarin-M","Svyazist","","1978.4387","2002.2717"
"Pr 266M Akvamarin-M","Torpedist","","1971.9979","1995.666"
"Pr 266M Akvamarin-M","Tral","","1972.8275","1993.4935"
"Pr 266M Akvamarin-M","Turbinist","","1975.9945","2999.9973"
"Pr 266M Akvamarin-M","Vsevolod Vishnevskiy","","1976.9945","1993.4935"
"Pr 266M Akvamarin-M","Yakor ","","1974.7454","1994.5072"
"Pr 266M Akvamarin-M","Zapal","","1975.9124","1998.2033"
"Pr 266M Akvamarin-M","Zaryad","","1976.9945","1996.5784"
"Pr 266M Akvamarin-M","Zenitchik","","1974.6906","1997.5619"
"Pr 61 Kashin","Komsomolets Ukrainy","","1962.9973","2999.9"
"Pr 61 Kashin","Krasny Kavkaz","","1967.7317","1998.2033"
"Pr 61 Kashin","Krasny Krym","","1970.7864","1993.4771"
"Pr 61 Kashin","Odarenny","","1965.9945","1990.2964"
"Pr 61 Kashin","Ognevoy","","1964.9973","1989.3128"
"Pr 61 Kashin","Otvazhny","","1965.9973","1974.6605"
"Pr 61 Kashin","Ovraztsovy","","1965.7426","1993.4935"
"Pr 61 Kashin","Provorny","","1964.9808","1990.6359"
"Pr 61 Kashin","Reshitelny","","1967.9945","1996.5154"
"Pr 61 Kashin","Sderzhanny","","1973.9945","2001.3347"
"Pr 61 Kashin","Skory","","1972.7262","1997.54"
"Pr 61 Kashin","Slavny","","1966.7454","1991.4771"
"Pr 61 Kashin","Smely","","1969.9863","2003.9261"
"Pr 61 Kashin","Smetlivy","","1969.7317","2999.9"
"Pr 61 Kashin","Smyshleny","","1968.7372","1993.1431"
"Pr 61 Kashin","Soobrazitelny","","1963.9836","1992.5017"
"Pr 61 Kashin","Sposobny","","1971.7317","1993.885"
"Pr 61 Kashin","Steregushchy","","1966.9699","1993.4935"
"Pr 61 Kashin","Strogiy","","1968.9781","1993.4935"
"Pr 61 Kashin","Stroyny","","1966.9535","1990.2772"
"Pr 641B Som","B-146 Komsomolets Kazakhstana","","1978.7454","1998.2033"
"Pr 641B Som","B-215","","1979.9945","1997.54"
"Pr 641B Som","B-225","","1981.9808","1998.2033"
"Pr 641B Som","B-290","","1977.7317","1995.5893"
"Pr 641B Som","B-30","","1979.7399","2001.3402"
"Pr 641B Som","B-303","","1977.9945","1995.5893"
"Pr 641B Som","B-307","","1980.9945","2001.3347"
"Pr 641B Som","B-312","","1982.718","1998.2033"
"Pr 641B Som","B-319 Komsomolets Chuvashii","","1981.7317","1998.2033"
"Pr 641B Som","B-380 Gorkovsky Komsomolets","","1982.9836","2999.9973"
"Pr 641B Som","B-396 Novosinirsky Komsomolets","","1980.7454","1998.2033"
"Pr 641B Som","B-437 Magnitogorsk","","1975.7454","2001.3347"
"Pr 641B Som","B-443","","1973.9973","1995.5893"
"Pr 641B Som","B-474","","1974.9973","1995.5893"
"Pr 641B Som","B-498","","1975.9973","1995.5893"
"Pr 641B Som","B-515","","1976.9918","2002.2717"
"Pr 641B Som","B-519","","1976.9726","1995.5893"
"Pr 641B Som","B-546","","1978.9918","2002.3347"
"Pr 667AT Gruscha","K-253","","1985.9671","1993.4935"
"Pr 667AT Gruscha","K-26","","1985.8658","1988.54"
"Pr 667AT Gruscha","K-395","","1991.9945","2002.666"
"Pr 667AT Gruscha","K-408","","1984.3539","1988.54"
"Pr 667AT Gruscha","K-423","","1987.9863","1994.5072"
"Pr 667BDR Kalmar","K-129 Orenburg","","1981.8439","2999.9973"
"Pr 667BDR Kalmar","K-180","","1980.7317","2999.9973"
"Pr 667BDR Kalmar","K-211 Petropavlovsk-Kamchatsky","","1979.7399","2010.0007"
"Pr 667BDR Kalmar","K-223 Podol sk","","1979.9042","2999.9973"
"Pr 667BDR Kalmar","K-424","","1976.9945","1995.2361"
"Pr 667BDR Kalmar","K-433 Svyatoy Georgiy Pobedonosetc","","1980.9535","2999.9973"
"Pr 667BDR Kalmar","K-44 Ryazan","","1982.7098","2999.9973"
"Pr 667BDR Kalmar","K-441","","1976.8303","1995.2361"
"Pr 667BDR Kalmar","K-449","","1976.9836","2999.9973"
"Pr 667BDR Kalmar","K-455","","1976.9945","2999.9973"
"Pr 667BDR Kalmar","K-487","","1977.9863","1998.0007"
"Pr 667BDR Kalmar","K-490","","1977.7454","2003.9979"
"Pr 667BDR Kalmar","K-496 Borisoglebsk","","1977.9945","2008.833"
"Pr 667BDR Kalmar","K-506 Zelenograd","","1978.9124","2010.0007"
"Pr 667BDRM Delfin","K-114 Tula","","1987.8275","2999.9973"
"Pr 667BDRM Delfin","K-117 Bryansk","","1988.7454","2999.9973"
"Pr 667BDRM Delfin","K-18 Karelia","","1989.7728","2999.9973"
"Pr 667BDRM Delfin","K-407 Novomosskovsk","","1990.9042","2999.9973"
"Pr 667BDRM Delfin","K-51 Verkhoturye","","1984.989","2999.9973"
"Pr 667BDRM Delfin","K-64 Podmoskov e","","1986.9754","2999.9973"
"Pr 667BDRM Delfin","K-84 Ekaterinburg","","1985.9945","2999.9973"
"Pr 670 Skat","K-143","","1969.8303","1993.4935"
"Pr 670 Skat","K-201","","1972.9836","1998.0007"
"Pr 670 Skat","K-25","","1968.9945","1991.4771"
"Pr 670 Skat","K-302","","1970.9151","1993.4935"
"Pr 670 Skat","K-308","","1970.718","1992.5756"
"Pr 670 Skat","K-313","","1969.9562","1992.5756"
"Pr 670 Skat","K-320","","1971.7043","1994.5072"
"Pr 670 Skat","K-325","","1971.8439","1991.4771"
"Pr 670 Skat","K-429","","1972.7043","1985.6988"
"Pr 670 Skat","K-43","","1967.8467","1992.5017"
"Pr 670 Skat","K-87","","1968.989","1990.2964"
"Pr 670M Chayka","K-209","","1980.9945","1995.5893"
"Pr 670M Chayka","K-452","","1973.9945","1998.4086"
"Pr 670M Chayka","K-458","","1975.9918","1991.4771"
"Pr 670M Chayka","K-479","","1977.7454","1992.5072"
"Pr 670M Chayka","K-503","","1978.9973","1993.4935"
"Pr 670M Chayka","K-508","","1979.9945","1995.5893"
"Pr 671 Yorzh","K-147","","1968.9699","1997.6851"
"Pr 671 Yorzh","K-306","","1969.9261","1991.4771"
"Pr 671 Yorzh","K-314","","1972.8467","1989.1978"
"Pr 671 Yorzh","K-323","","1970.7262","1993.4935"
"Pr 671 Yorzh","K-367","","1971.9261","1994.5072"
"Pr 671 Yorzh","K-370","","1970.9261","1993.4935"
"Pr 671 Yorzh","K-38","","1967.8439","1991.4771"
"Pr 671 Yorzh","K-398","","1972.9535","1995.5893"
"Pr 671 Yorzh","K-438","","1971.7043","1995.5893"
"Pr 671 Yorzh","K-454","","1973.8275","1994.5072"
"Pr 671 Yorzh","K-462","","1973.9945","1993.4935"
"Pr 671 Yorzh","K-469","","1974.7454","1993.4935"
"Pr 671 Yorzh","K-481","","1974.9863","1992.5017"
"Pr 671 Yorzh","K-53","","1969.7454","1993.4935"
"Pr 671 Yorzh","K-69","","1968.8467","1991.4771"
"Pr 671RTMK Shchuka","B-138 Obninsk","","1990.9945","2999.9973"
"Pr 671RTMK Shchuka","B-218","","1983.989","1998.4086"
"Pr 671RTMK Shchuka","B-242","","1983.8138","1998.4086"
"Pr 671RTMK Shchuka","B-244","","1985.9808","1998.4086"
"Pr 671RTMK Shchuka","B-247","","1978.9945","1996.5784"
"Pr 671RTMK Shchuka","B-251","","1980.7454","1998.4086"
"Pr 671RTMK Shchuka","B-254","","1979.9945","1998.4086"
"Pr 671RTMK Shchuka","B-255","","1980.989","2999.9973"
"Pr 671RTMK Shchuka","B-264","","1984.8166","2003.0007"
"Pr 671RTMK Shchuka","B-292 Perm","","1987.9042","2006.0007"
"Pr 671RTMK Shchuka","B-298","","1982.9863","1998.4086"
"Pr 671RTMK Shchuka","B-299","","1984.9726","1999.9979"
"Pr 671RTMK Shchuka","B-305","","1981.7454","1998.4086"
"Pr 671RTMK Shchuka","B-324","","1980.9945","1999.9979"
"Pr 671RTMK Shchuka","B-355","","1981.9918","1998.4086"
"Pr 671RTMK Shchuka","B-358","","1983.9918","1998.4086"
"Pr 671RTMK Shchuka","B-360","","1982.7426","1998.4086"
"Pr 671RTMK Shchuka","B-388 Petrozavodsk","","1988.9124","2999.9973"
"Pr 671RTMK Shchuka","B-412","","1979.9945","1996.5784"
"Pr 671RTMK Shchuka","B-414 Danill Moskovskiy","","1990.9945","2999.9973"
"Pr 671RTMK Shchuka","B-448 Tambov","","1992.729","2999.9973"
"Pr 671RTMK Shchuka","B-492","","1979.9945","1996.5784"
"Pr 671RTMK Shchuka","B-502 Volgograd","","1980.9973","1999.9979"
"Pr 671RTMK Shchuka","B-507","","1979.9124","1998.4086"
"Pr 671RTMK Shchuka","B-524","","1977.989","2002.0007"
"Pr 671RTMK Shchuka","B-527","","1981.9945","2999.9973"
"Pr 685 Plavnik","K-278 Komsomolets","","1983.989","1990.2635"
"Pr 705 Lira","K-123","","1977.9452","1996.5784"
"Pr 705 Lira","K-316","","1978.7454","1990.2964"
"Pr 705 Lira","K-373","","1979.9918","1990.2964"
"Pr 705 Lira","K-432","","1978.9973","1990.2964"
"Pr 705 Lira","K-463","","1981.9945","1990.2964"
"Pr 705 Lira","K-473","","1981.7454","1990.2964"
"Pr 705 Lira","K-64","","1971.9973","1978.1075"
"Pr 771 Polnocny-B","SDK-102","","1968.0637","1992.2115"
"Pr 771 Polnocny-B","SDK-106","","1968.2307","2999.9973"
"Pr 771 Polnocny-B","SDK-107","","1969.1595","1992.5017"
"Pr 771 Polnocny-B","SDK-108","","1969.4935","1995.5893"
"Pr 771 Polnocny-B","SDK-109","","1969.5784","1982.9151"
"Pr 771 Polnocny-B","SDK-110","","1969.6632","2999.9973"
"Pr 771 Polnocny-B","SDK-111","","1969.7454","1993.4935"
"Pr 771 Polnocny-B","SDK-112","","1969.8303","1980.0062"
"Pr 771 Polnocny-B","SDK-171","","1968.4935","1997.0007"
"Pr 771 Polnocny-B","SDK-172","","1968.3539","1992.2115"
"Pr 771 Polnocny-B","SDK-177","","1968.3265","2999.9973"
"Pr 771 Polnocny-B","SDK-178","","1968.4114","2999.9973"
"Pr 771 Polnocny-B","SDK-71","","1970.2279","1979.3703"
"Pr 771 Polnocny-B","SDK-73","","1970.3046","1994.5072"
"Pr 771 Polnocny-B","SDK-74","","1970.4086","1980.2854"
"Pr 771 Polnocny-B","SDK-76","","1970.6523","2999.9973"
"Pr 771 Polnocny-B","SDK-79","","1970.7782","1993.4935"
"Pr 771 Polnocny-B","SDK-80","","1970.9124","2999.9973"
"Pr 771 Polnocny-B","SDK-81","","1967.4524","1995.9979"
"Pr 771 Polnocny-B","SDK-82","","1967.6632","1982.666"
"Pr 771 Polnocny-B","SDK-84","","1967.4935","1977.5893"
"Pr 771 Polnocny-B","SDK-87","","1967.5702","1993.4935"
"Pr 771 Polnocny-B","SDK-89","","1967.6496","1994.0007"
"Pr 771 Polnocny-B","SDK-96","","1967.7454","1993.4935"
"Pr 771 Polnocny-B","SDK-99","","1967.8138","1994.5072"
"Pr 775  Ropucha","BDK-101 Oslyabya","","1981.9644","2999.9973"
"Pr 775  Ropucha","BDK-105","","1982.165","2002.2717"
"Pr 775  Ropucha","BDK-11 Peresvet","","1991.2717","2999.9973"
"Pr 775  Ropucha","BDK-119","","1979.1567","1979.666"
"Pr 775  Ropucha","BDK-14","","1981.6632","2001.3347"
"Pr 775  Ropucha","BDK-181","","1976.77","1994.5072"
"Pr 775  Ropucha","BDK-182 Kondopoga","","1976.9124","2999.9973"
"Pr 775  Ropucha","BDK-183 Kotlas","","1977.2005","2005.4716"
"Pr 775  Ropucha","BDK-197","","1977.7207","1994.5072"
"Pr 775  Ropucha","BDK-200","","1977.0007","1993.4935"
"Pr 775  Ropucha","BDK-32","","1982.0007","2002.0007"
"Pr 775  Ropucha","BDK-43 Minsk","","1983.4086","2999.9973"
"Pr 775  Ropucha","BDK-45 Georgiy Pobedonosets","","1985.1732","2999.9973"
"Pr 775  Ropucha","BDK-46 Novocherkassk","","1987.9124","2999.9973"
"Pr 775  Ropucha","BDK-47","","1974.4962","1994.9589"
"Pr 775  Ropucha","BDK-48","","1975.4935","1994.5072"
"Pr 775  Ropucha","BDK-54 Azov","","1990.7782","2999.9973"
"Pr 775  Ropucha","BDK-55 Alexandr Otrakovskiy","","1978.5756","2999.9973"
"Pr 775  Ropucha","BDK-56 Konstantin Olshanskiy","","1985.0007","1996.0226"
"Pr 775  Ropucha","BDK-58 Kaliningrad","","1984.937","2999.9973"
"Pr 775  Ropucha","BDK-60 Alexandr Shabalin","","1985.9973","2999.9973"
"Pr 775  Ropucha","BDK-61 Korolev","","1991.5209","2999.9973"
"Pr 775  Ropucha","BDK-63","","1975.4935","1994.5072"
"Pr 775  Ropucha","BDK-64 Tsezar Kunikov","","1986.7454","2999.9973"
"Pr 775  Ropucha","BDK-67 Yamal","","1988.3265","2999.9973"
"Pr 775  Ropucha","BDK-90","","1975.9124","1994.5072"
"Pr 775  Ropucha","BDK-91 Olenegorskiy Gornyak","","1976.4935","2999.9973"
"Pr 775  Ropucha","BDK-98","","1982.7399","2999.9973"
"Pr 864 Meridian","Karelia","SSV-175","1986.5072","2999.9973"
"Pr 864 Meridian","Kurily","SSV-520","1987.7892","2999.9973"
"Pr 864 Meridian","Meridian","SSV-169","1985.8686","2999.9973"
"Pr 864 Meridian","Odograf","SSV-520","1987.9979","2999.9973"
"Pr 864 Meridian","Pelengator","SSV-520","1988.5565","2999.9973"
"Pr 864 Meridian","Priazov e","SSV-520","1987.4442","2999.9973"
"Pr 864 Meridian","Tavriya","SSV-201","1987.0445","2999.9973"
"Pr 877M Paltus","B-177","","1991.9836","2999.9973"
"Pr 877M Paltus","B-190","","1992.9945","2999.9973"
"Pr 877M Paltus","B-198","","1991.9945","2999.9973"
"Pr 877M Paltus","B-227","","1983.1458","2999.9973"
"Pr 877M Paltus","B-229","","1983.8275","2002.2717"
"Pr 877M Paltus","B-248","","1980.9973","2001.3347"
"Pr 877M Paltus","B-260","","1981.9945","2999.9973"
"Pr 877M Paltus","B-345","","1994.0582","2999.9973"
"Pr 877M Paltus","B-394","","1988.9945","2999.9973"
"Pr 877M Paltus","B-401","","1984.7454","2999.9973"
"Pr 877M Paltus","B-402","","1984.9945","2999.9973"
"Pr 877M Paltus","B-404","","1983.9945","2002.2717"
"Pr 877M Paltus","B-405","","1984.9945","2002.2717"
"Pr 877M Paltus","B-439","","1986.9945","2005.9206"
"Pr 877M Paltus","B-445","","1988.0773","2999.9973"
"Pr 877M Paltus","B-459","","1990.7399","2999.9973"
"Pr 877M Paltus","B-464","","1990.0801","2999.9973"
"Pr 877M Paltus","B-470","","1985.9945","2005.4716"
"Pr 877M Paltus","B-471","","1990.989","2999.9973"
"Pr 877M Paltus","B-494","","1990.9945","2999.9973"
"Pr 877M Paltus","B-800","","1989.7454","2999.9973"
"Pr 877M Paltus","B-808","","1988.9863","2999.9973"
"Pr 877M Paltus","B-871","","1990.9124","2999.9973"
"Pr 885 Yasen","Kazan ","","Keel laid, under construction",""
"Pr 885 Yasen","Severodvinsk","","Launched, awaiting commision",""
"Pr 941 Akula","TK-12","","1984.9836","2005.0007"
"Pr 941 Akula","TK-13","","1985.9836","1998.0007"
"Pr 941 Akula","TK-17 Arkhangel sk","","1987.9535","2999.9973"
"Pr 941 Akula","TK-20 Severstal ","","1989.9644","2999.9973"
"Pr 941 Akula","TK-202","","1983.989","1999.9979"
"Pr 941 Akula","TK-208 Dmitriy Donskoy","","1981.9918","2999.9973"
"Pr 945 Barrakuda","K-239 Karp","","1984.7426","2999.9973"
"Pr 945 Barrakuda","K-276 Kostroma","","1987.8193","2999.9973"
"Pr 945A Kondor","K-336 Pskov","","1993.9507","2999.9973"
"Pr 945A Kondor","K-534 Nizhniy Novgorod","","1990.9836","2999.9973"
"Pr 949A Antey","K-119 Voronezh","K-119","1989.9918","2999.9973"
"Pr 949A Antey","K-132 Irkutsk","K-132","1988.9945","2999.9973"
"Pr 949A Antey","K-141 Kursk","K-141","1994.9945","2000.6112"
"Pr 949A Antey","K-148 Krasnodar","K-148","1986.7454","2999.9973"
"Pr 949A Antey","K-150 Tomsk","K-150","1996.9945","2999.9973"
"Pr 949A Antey","K-173 Krasnoyarsk","K-173","1986.9973","2007.9979"
"Pr 949A Antey","K-186 Omsk","K-186","1993.9398","2999.9973"
"Pr 949A Antey","K-206 Murmansk","K-206","1983.9124","1998.0171"
"Pr 949A Antey","K-266 Orel","K-266","1992.9945","2999.9973"
"Pr 949A Antey","K-410 Smolensk","K-410","1990.9726","2999.9973"
"Pr 949A Antey","K-442 Chelyabinsk","K-442","1990.989","2999.9973"
"Pr 949A Antey","K-456 Kasatka","K-456","1992.6277","2999.9973"
"Pr 949A Antey","K-525 Arkhangelsk","K-525","1980.9945","1996.5784"
"Pr 956E Sarych","Fuzhou","137","2000.9","2999.99"
"Pr 956E Sarych","Hangzhou","136","1999.988","2999.99"
"Pr 956EM Sarych","Ningbo","139","2006.749","2999.9973"
"Pr 956EM Sarych","Taizhou","138","2005.99","2999.9973"
"Pr 971 Shchuka-B","K-263 Delphin","","1987.9945","2007.0007"
"Pr 971 Shchuka-B","K-284 Akula","","1984.9945","2999.9973"
"Pr 971 Shchuka-B","K-317 Pantera","","1990.9863","2999.9973"
"Pr 971 Shchuka-B","K-322 kashalot","","1988.9945","2999.9973"
"Pr 971 Shchuka-B","K-331 Narval","","1990.9754","2999.9973"
"Pr 971 Shchuka-B","K-391 Kit","","1989.9918","2999.9973"
"Pr 971 Shchuka-B","K-480 Bars","","1988.9918","2007.0007"
"Pr 971I Irbis","K-152 Nerpa","","2009.822","2999.9973"
"Pr 971I Irbis","K-157 Vepr","","1995.8987","2999.9973"
"Pr 971I Irbis","K-335 Gepard","","2001.9206","2999.9973"
"Pr 971U Shchuka-B","K-154 Tigr","","1993.9918","2999.9973"
"Pr 971U Shchuka-B","K-295 Samara","","1995.9589","2999.9973"
"Pr 971U Shchuka-B","K-328 Leopard","","1992.9945","2999.9973"
"Pr 971U Shchuka-B","K-419 Kuzbass","","1992.9973","2999.9973"
"Pr 971U Shchuka-B","K-461 Volk","","1991.9918","2999.9973"
"Pr 97P","Anadyr","","1975.9979","2999.9973"
"Pr 97P","Aysberg","","1974.0007","2999.9973"
"Pr 97P","Dunay","","1977.0007","2999.9973"
"Pr 97P","Mumansk","","1978.0007","2999.9973"
"Pr 97P","Volga","","1979.9979","2999.9973"
"Reliance WMEC","USCGC Active","WMEC-618","1965.666","2999.9973"
"Reliance WMEC","USCGC Alert","WMEC-630","1969.5893","2999.9973"
"Reliance WMEC","USCGC Confidence","WMEC-619","1966.0007","2999.9"
"Reliance WMEC","USCGC Courageous","WMEC-622","1968.2964","2004.4771"
"Reliance WMEC","USCGC Dauntless","WMEC-624","1968.4387","2999.9973"
"Reliance WMEC","USCGC Decisive","WMEC-629","1968.6413","2999.9973"
"Reliance WMEC","USCGC Dependable","WMEC-626","1968.8905","2999.9973"
"Reliance WMEC","USCGC Diligence","WMEC-616","1963.9979","2999.9973"
"Reliance WMEC","USCGC Durable","WMEC-628","1968.9343","2001.718"
"Reliance WMEC","USCGC Reliance","WMEC-615","1963.9979","2999.9973"
"Reliance WMEC","USCGC Resolute","WMEC-620","1966.9343","2999.9973"
"Reliance WMEC","USCGC Steadfast","WMEC-623","1967.9979","2999.9973"
"Reliance WMEC","USCGC Valiant","WMEC-621","1967.8385","2999.9973"
"Reliance WMEC","USCGC Venturous","WMEC-625","1968.6961","2999.9973"
"Reliance WMEC","USCGC Vigilant","WMEC-617","1964.7536","2999.9973"
"Reliance WMEC","USCGC Vigorous","WMEC-627","1969.332","2999.9973"
"Rigid Inflatable Boat PBF","USA PBC Rigid Inflatable Boat","","1905.1978","2999.9973"
"Riverine Assault Craft LCPF","USA LCPF Riverine Assault Craft","","1905.1978","2999.9973"
"Sabalo SSK","Caribe","S-32","1977.0007","2999.9973"
"Sabalo SSK","Sabalo","S-31","1975.9979","2999.9973"
"Sacramento AOEHM","USS Camden","AOE-2","1967.2471","2005.7837"
"Sacramento AOEHM","USS Detroit","AOE-4","1970.1978","2005.1294"
"Sacramento AOEHM","USS Sacramento","AOE-1","1964.1978","2004.7481"
"Sacramento AOEHM","USS Seattle","AOE-3","1969.258","2005.2005"
"San Antonio LPDM","USS Green Bay","LPD-20","2009.0637","2999.9973"
"San Antonio LPDM","USS mesa Verde","LPD-19","2007.9535","2999.9973"
"San Antonio LPDM","USS New Orleans","LPD-18","2007.1869","2999.9973"
"San Antonio LPDM","USS New York","LPD-21","2009.8494","2999.9973"
"San Antonio LPDM","USS San Antonio","LPD-17","2006.0363","2999.9973"
"SSN 21 Seawolf","USS Connecticut","SSN 22","1998.9425","2999.9973"
"SSN 21 Seawolf","USS Jimmy Carter","SSN-23","2005.1348","2999.9973"
"SSN 21 Seawolf","USS Seawolf","SSN 21","1995.4771","2999.9973"
"Sir Lancelot LST","RFA Sir Bevidere","L-3004","1967.3758","2008.1294"
"Sir Lancelot LST","RFA Sir Galahad","L-3005","1966.9589","1982.4333"
"Sir Lancelot LST","RFA Sir Geraint","L-3027","1967.4442","2003.3292"
"Sir Lancelot LST","RFA Sir Lancelot","L-3029","1964.039","1989.4114"
"Sir Lancelot LST","RFA Sir Percivale","L-3036","1968.2225","2004.6249"
"Sir Lancelot LST","RFA Sir Tristram","L-3505","1967.7016","2005.9562"
"Spruance DDG ABL 93","USS Comte de Grasse","DD-974","1993.333","1998.4251"
"Spruance DDG ABL 93","USS Conolly","DD-979","1993.752","1998.7125"
"Spruance DDG ABL 93","USS Harry W. Hill","DD-986","1993.96","1998.4059"
"Spruance DDG ABL 93","USS Ingersoll","DD-990","1993.5","1998.5592"
"Spruance DDG ABL 93","USS John Rodgers","DD-983","1993.793","1998.6742"
